BHK,Residential_type,Furnishing,Bathroom,Tenants_preferred,Balcony,Posted_by,City,Price
5 BHK,Villa,Semi-Furnished,4,Family,1,Agent,Hyderabad,₹3.1 Lac
3 BHK,Flat ,Unfurnished,3,Family,3,Agent,Hyderabad,"₹36,000"
3 BHK,Flat ,Semi-Furnished,3,Bachelors/Family,1,,Hyderabad,"₹45,000"
2 BHK,Flat ,Furnished,2,Bachelors,1,,Hyderabad,"₹42,000"
4 BHK,Villa,Semi-Furnished,7,Bachelors/Family,2,Agent,Hyderabad,₹1.1 Lac
3 BHK,Flat ,Semi-Furnished,3,Bachelors/Family,2,Agent,Hyderabad,"₹80,000"
3 BHK,Flat ,Semi-Furnished,1,Family,1,Agent,Hyderabad,"₹15,000"
2 BHK,Villa,Semi-Furnished,2,Family,,Agent,Hyderabad,"₹28,000"
4 BHK, House,Furnished,5,Family,2,Owner,Hyderabad,₹1 Lac
2 BHK,Flat ,Unfurnished,2,Bachelors/Family,1,Owner,Hyderabad,"₹15,000"
3 BHK,Flat ,Semi-Furnished,2,Bachelors,2,Owner,Hyderabad,"₹33,500"
3 BHK,Flat ,Semi-Furnished,3,Bachelors,2,Agent,Hyderabad,"₹67,000"
3 BHK,Flat ,Semi-Furnished,3,Bachelors,2,Agent,Hyderabad,₹1.9 Lac
3 BHK,Flat ,Semi-Furnished,3,Bachelors/Family,2,Agent,Hyderabad,"₹62,000"
4 BHK,Flat ,Semi-Furnished,5,Bachelors/Family,2,Owner,Hyderabad,"₹98,000"
3 BHK,Flat ,Unfurnished,3,Family,3,Owner,Hyderabad,"₹27,000"
2 BHK,Flat ,Furnished,2,Bachelors,1,Agent,Hyderabad,"₹43,000"
4 BHK,Villa,Unfurnished,4,Bachelors/Family,2,Owner,Hyderabad,₹1.2 Lac
3 BHK,Flat ,Semi-Furnished,2,Bachelors/Family,1,Owner,Hyderabad,"₹32,500"
3 BHK, House,Unfurnished,2,Bachelors/Family,,Owner,Hyderabad,"₹40,000"
3 BHK,Flat ,Semi-Furnished,4,Bachelors/Family,2,Owner,Hyderabad,"₹35,000"
2 BHK, House,Semi-Furnished,2,Bachelors/Family,,Owner,Hyderabad,"₹22,000"
4 BHK,Villa,Semi-Furnished,4,Bachelors/Family,2,Owner,Hyderabad,"₹43,000"
2 BHK,Flat ,Semi-Furnished,2,Bachelors/Family,1,Owner,Hyderabad,"₹35,000"
3 BHK,Flat ,Semi-Furnished,4,Bachelors/Family,,Owner,Hyderabad,"₹50,000"
2 BHK, House,Unfurnished,2,Bachelors,2,Owner,Hyderabad,"₹14,500"
3 BHK,Flat ,Unfurnished,2,Family,2,Owner,Hyderabad,"₹32,000"
2 BHK,Flat ,Furnished,2,Bachelors/Family,,Owner,Hyderabad,"₹32,000"
3 BHK,Flat ,Unfurnished,3,Bachelors/Family,3,Owner,Hyderabad,"₹62,000"
2 BHK,Flat ,Unfurnished,2,Bachelors/Family,,Owner,Hyderabad,"₹25,000"
7 BHK,Villa,Semi-Furnished,7,Bachelors/Family,,Owner,Hyderabad,₹1.6 Lac
4 BHK,Villa,Furnished,4,Bachelors,,Owner,Hyderabad,"₹70,000"
3 BHK, House,Unfurnished,2,Bachelors/Family,,Owner,Hyderabad,"₹13,500"
2 BHK,Apartment,Semi-Furnished,2,Bachelors/Family,2,Owner,Hyderabad,"₹15,000"
2 BHK,Apartment,Furnished,2,Bachelors,2,Owner,Hyderabad,"₹25,000"
3 BHK,Apartment,Semi-Furnished,3,Bachelors/Family,1,Owner,Hyderabad,"₹90,000"
3 BHK,Apartment,Unfurnished,3,Bachelors/Family,,Owner,Hyderabad,"₹25,000"
4 BHK, House,Semi-Furnished,3,Bachelors,3,Owner,Hyderabad,"₹22,000"
3 BHK, House,Unfurnished,3,Bachelors,3,Owner,Hyderabad,"₹30,000"
2 BHK,Apartment,Furnished,2,Bachelors,1,Owner,Hyderabad,"₹44,000"
3 BHK,Apartment,Semi-Furnished,3,Bachelors/Family,3,Owner,Hyderabad,"₹36,000"
3 BHK,Apartment,Semi-Furnished,3,Bachelors/Family,1,Owner,Hyderabad,"₹50,000"
3 BHK,Apartment,Furnished,3,Bachelors,1,Owner,Hyderabad,"₹35,000"
3 BHK,Villa,Semi-Furnished,5,Bachelors/Family,1,Owner,Hyderabad,"₹75,000"
5 BHK, House,Semi-Furnished,5,Bachelors/Family,1,Owner,Hyderabad,₹1.3 Lac
4 BHK,Villa,Semi-Furnished,4,Bachelors/Family,2,Owner,Hyderabad,"₹60,000"
3 BHK,Villa,Furnished,3,Bachelors/Family,1,Owner,Hyderabad,"₹60,000"
4 BHK,Apartment,Semi-Furnished,3,Bachelors,1,Agent,Hyderabad,"₹80,000"
4 BHK,Villa,Semi-Furnished,6,Bachelors/Family,3,Agent,Hyderabad,₹2.9 Lac
3 BHK,Apartment,Unfurnished,3,Bachelors,1,Owner,Hyderabad,"₹44,000"
4 BHK,Villa,,,Bachelors/Family,,Owner,Hyderabad,₹1 Lac
3 BHK,Apartment,,,Bachelors/Family,,Owner,Hyderabad,"₹85,000"
3 BHK,Apartment,Unfurnished,3,Bachelors,2,Owner,Hyderabad,"₹35,000"
4 BHK, House,Unfurnished,5,Bachelors,2,Agent,Hyderabad,₹4.5 Lac
2 BHK,Apartment,Semi-Furnished,2,Bachelors,1,Agent,Hyderabad,"₹48,000"
3 BHK,Villa,Unfurnished,4,Bachelors/Family,1,Owner,Hyderabad,"₹38,000"
3 BHK,Apartment,Semi-Furnished,3,Family,1,Owner,Hyderabad,"₹35,000"
3 BHK,Apartment,Semi-Furnished,3,Bachelors/Family,3,Agent,Hyderabad,"₹55,000"
2 BHK, House,Semi-Furnished,2,Bachelors/Family,3,Owner,Hyderabad,"₹20,000"
2 BHK,Apartment,Furnished,2,Bachelors/Family,1,Owner,Hyderabad,"₹42,000"
1 BHK,Apartment,Furnished,1,Bachelors,1,Owner,Hyderabad,"₹24,000"
4 BHK,Apartment,Furnished,3,Bachelors/Family,2,Owner,Hyderabad,₹1 Lac
5 BHK, House,Unfurnished,5,Bachelors/Family,8,Owner,Hyderabad,"₹95,000"
4 BHK, House,Semi-Furnished,4,Bachelors/Family,1,Owner,Hyderabad,"₹36,000"
4 BHK,Villa,Semi-Furnished,5,Bachelors/Family,2,Owner,Hyderabad,₹1.3 Lac
3 BHK,Apartment,Semi-Furnished,2,Bachelors/Family,3,Owner,Hyderabad,"₹53,000"
2 BHK, House,Unfurnished,1,Family,,Owner,Hyderabad,"₹18,000"
3 BHK,Apartment,Semi-Furnished,2,Bachelors/Family,,Owner,Hyderabad,"₹45,000"
4 BHK, House,Unfurnished,5,Family,2,Owner,Hyderabad,₹1.3 Lac
4 BHK, House,Semi-Furnished,3,Bachelors/Family,3,Owner,Hyderabad,"₹70,000"
3 BHK,Villa,Furnished,5,Family,2,Owner,Hyderabad,₹1.2 Lac
3 BHK, House,Semi-Furnished,3,Bachelors/Family,3,Owner,Hyderabad,"₹35,000"
3 BHK,Apartment,Unfurnished,3,Bachelors/Family,2,Owner,Hyderabad,"₹31,000"
3 BHK,Apartment,Semi-Furnished,3,Family,2,Owner,Hyderabad,"₹50,000"
