BHK,Residential_type,Furnishing,Bathroom,Tenants_preferred,Balcony,Posted_by,City,Price
5,Villa,Semi-Furnished,4,Family,1.0,Agent,Hyderabad,310000
3,Flat ,Unfurnished,3,Family,3.0,Agent,Hyderabad,36000
3,Flat ,Semi-Furnished,3,Bachelors/Family,1.0,Owner,Hyderabad,45000
2,Flat ,Furnished,2,Bachelors,1.0,Owner,Hyderabad,42000
4,Villa,Semi-Furnished,7,Bachelors/Family,2.0,Agent,Hyderabad,110000
3,Flat ,Semi-Furnished,3,Bachelors/Family,2.0,Agent,Hyderabad,80000
3,Flat ,Semi-Furnished,1,Family,1.0,Agent,Hyderabad,15000
2,Villa,Semi-Furnished,2,Family,1.0,Agent,Hyderabad,28000
4, House,Furnished,5,Family,2.0,Owner,Hyderabad,10000
2,Flat ,Unfurnished,2,Bachelors/Family,1.0,Owner,Hyderabad,15000
3,Flat ,Semi-Furnished,2,Bachelors,2.0,Owner,Hyderabad,33500
3,Flat ,Semi-Furnished,3,Bachelors,2.0,Agent,Hyderabad,67000
3,Flat ,Semi-Furnished,3,Bachelors,2.0,Agent,Hyderabad,190000
3,Flat ,Semi-Furnished,3,Bachelors/Family,2.0,Agent,Hyderabad,62000
4,Flat ,Semi-Furnished,5,Bachelors/Family,2.0,Owner,Hyderabad,98000
3,Flat ,Unfurnished,3,Family,3.0,Owner,Hyderabad,27000
2,Flat ,Furnished,2,Bachelors,1.0,Agent,Hyderabad,43000
4,Villa,Unfurnished,4,Bachelors/Family,2.0,Owner,Hyderabad,120000
3,Flat ,Semi-Furnished,2,Bachelors/Family,1.0,Owner,Hyderabad,32500
3, House,Unfurnished,2,Bachelors/Family,1.5,Owner,Hyderabad,40000
3,Flat ,Semi-Furnished,4,Bachelors/Family,2.0,Owner,Hyderabad,35000
2, House,Semi-Furnished,2,Bachelors/Family,1.0,Owner,Hyderabad,22000
4,Villa,Semi-Furnished,4,Bachelors/Family,2.0,Owner,Hyderabad,43000
2,Flat ,Semi-Furnished,2,Bachelors/Family,1.0,Owner,Hyderabad,35000
3,Flat ,Semi-Furnished,4,Bachelors/Family,2.0,Owner,Hyderabad,50000
2, House,Unfurnished,2,Bachelors,2.0,Owner,Hyderabad,14500
3,Flat ,Unfurnished,2,Family,2.0,Owner,Hyderabad,32000
2,Flat ,Furnished,2,Bachelors/Family,1.0,Owner,Hyderabad,32000
3,Flat ,Unfurnished,3,Bachelors/Family,3.0,Owner,Hyderabad,62000
2,Flat ,Unfurnished,2,Bachelors/Family,1.0,Owner,Hyderabad,25000
7,Villa,Semi-Furnished,7,Bachelors/Family,2.0,Owner,Hyderabad,160000
4,Villa,Furnished,4,Bachelors,2.0,Owner,Hyderabad,70000
3, House,Unfurnished,2,Bachelors/Family,1.5,Owner,Hyderabad,13500
2,Apartment,Semi-Furnished,2,Bachelors/Family,2.0,Owner,Hyderabad,15000
2,Apartment,Furnished,2,Bachelors,2.0,Owner,Hyderabad,25000
3,Apartment,Semi-Furnished,3,Bachelors/Family,1.0,Owner,Hyderabad,90000
3,Apartment,Unfurnished,3,Bachelors/Family,2.0,Owner,Hyderabad,25000
4, House,Semi-Furnished,3,Bachelors,3.0,Owner,Hyderabad,22000
3, House,Unfurnished,3,Bachelors,3.0,Owner,Hyderabad,30000
2,Apartment,Furnished,2,Bachelors,1.0,Owner,Hyderabad,44000
3,Apartment,Semi-Furnished,3,Bachelors/Family,3.0,Owner,Hyderabad,36000
3,Apartment,Semi-Furnished,3,Bachelors/Family,1.0,Owner,Hyderabad,50000
3,Apartment,Furnished,3,Bachelors,1.0,Owner,Hyderabad,35000
3,Villa,Semi-Furnished,5,Bachelors/Family,1.0,Owner,Hyderabad,75000
5, House,Semi-Furnished,5,Bachelors/Family,1.0,Owner,Hyderabad,130000
4,Villa,Semi-Furnished,4,Bachelors/Family,2.0,Owner,Hyderabad,60000
3,Villa,Furnished,3,Bachelors/Family,1.0,Owner,Hyderabad,60000
4,Apartment,Semi-Furnished,3,Bachelors,1.0,Agent,Hyderabad,80000
4,Villa,Semi-Furnished,6,Bachelors/Family,3.0,Agent,Hyderabad,290000
3,Apartment,Unfurnished,3,Bachelors,1.0,Owner,Hyderabad,44000
4,Villa,Semi-Furnished,4,Bachelors/Family,2.0,Owner,Hyderabad,10000
3,Apartment,Semi-Furnished,3,Bachelors/Family,2.0,Owner,Hyderabad,85000
3,Apartment,Unfurnished,3,Bachelors,2.0,Owner,Hyderabad,35000
4, House,Unfurnished,5,Bachelors,2.0,Agent,Hyderabad,450000
2,Apartment,Semi-Furnished,2,Bachelors,1.0,Agent,Hyderabad,48000
3,Villa,Unfurnished,4,Bachelors/Family,1.0,Owner,Hyderabad,38000
3,Apartment,Semi-Furnished,3,Family,1.0,Owner,Hyderabad,35000
3,Apartment,Semi-Furnished,3,Bachelors/Family,3.0,Agent,Hyderabad,55000
2, House,Semi-Furnished,2,Bachelors/Family,3.0,Owner,Hyderabad,20000
2,Apartment,Furnished,2,Bachelors/Family,1.0,Owner,Hyderabad,42000
1,Apartment,Furnished,1,Bachelors,1.0,Owner,Hyderabad,24000
4,Apartment,Furnished,3,Bachelors/Family,2.0,Owner,Hyderabad,10000
5, House,Unfurnished,5,Bachelors/Family,8.0,Owner,Hyderabad,95000
4, House,Semi-Furnished,4,Bachelors/Family,1.0,Owner,Hyderabad,36000
4,Villa,Semi-Furnished,5,Bachelors/Family,2.0,Owner,Hyderabad,130000
3,Apartment,Semi-Furnished,2,Bachelors/Family,3.0,Owner,Hyderabad,53000
2, House,Unfurnished,1,Family,1.0,Owner,Hyderabad,18000
3,Apartment,Semi-Furnished,2,Bachelors/Family,2.0,Owner,Hyderabad,45000
4, House,Unfurnished,5,Family,2.0,Owner,Hyderabad,130000
4, House,Semi-Furnished,3,Bachelors/Family,3.0,Owner,Hyderabad,70000
3,Villa,Furnished,5,Family,2.0,Owner,Hyderabad,120000
3, House,Semi-Furnished,3,Bachelors/Family,3.0,Owner,Hyderabad,35000
3,Apartment,Unfurnished,3,Bachelors/Family,2.0,Owner,Hyderabad,31000
3,Apartment,Semi-Furnished,3,Family,2.0,Owner,Hyderabad,50000
5,Villa,Semi-Furnished,5,Bachelors/Family,3.0,Owner,Hyderabad,90000
3,Apartment,Furnished,3,Bachelors/Family,2.0,Owner,Hyderabad,45000
3,Apartment,Semi-Furnished,3,Bachelors/Family,2.0,Agent,Hyderabad,70000
4, House,Semi-Furnished,5,Family,4.0,Owner,Hyderabad,40000
2,Apartment,Semi-Furnished,2,Bachelors,2.0,Owner,Hyderabad,56000
3,Apartment,Semi-Furnished,3,Family,2.0,Agent,Hyderabad,46000
3,Apartment,Semi-Furnished,3,Family,1.0,Owner,Hyderabad,15000
2,Apartment,Semi-Furnished,2,Bachelors/Family,1.0,Owner,Hyderabad,17000
3,Apartment,Semi-Furnished,3,Bachelors/Family,2.0,Owner,Hyderabad,70000
3,Apartment,Furnished,3,Family,4.0,Owner,Hyderabad,32000
1,Apartment,Furnished,1,Bachelors/Family,1.0,Owner,Hyderabad,25000
3,Apartment,Furnished,3,Bachelors/Family,2.0,Owner,Hyderabad,49000
2,Builder Floor,Semi-Furnished,2,Bachelors,2.0,Agent,Hyderabad,31000
3,Apartment,Semi-Furnished,1,Family,1.0,Agent,Hyderabad,120000
3,Villa,Furnished,4,Family,1.0,Agent,Hyderabad,10000
4, House,Furnished,4,Family,3.0,Agent,Hyderabad,250000
3,Apartment,Furnished,3,Family,2.0,Owner,Hyderabad,61000
4,Apartment,Furnished,5,Family,1.0,Agent,Hyderabad,120000
10, House,Semi-Furnished,10,Bachelors/Family,10.0,Owner,Hyderabad,40000
3,Apartment,Semi-Furnished,3,Bachelors/Family,1.0,Agent,Hyderabad,75000
4,Apartment,Semi-Furnished,4,Bachelors,2.0,Agent,Hyderabad,110000
3,Apartment,Semi-Furnished,3,Bachelors,3.0,Agent,Hyderabad,60000
3,Apartment,Semi-Furnished,3,Bachelors/Family,3.0,Agent,Hyderabad,36000
3,Apartment,Semi-Furnished,3,Family,3.0,Agent,Hyderabad,30000
4,Apartment,Semi-Furnished,5,Bachelors,2.0,Agent,Hyderabad,110000
2,Apartment,Semi-Furnished,2,Bachelors/Family,2.0,Agent,Hyderabad,40000
4,Villa,Semi-Furnished,5,Family,2.0,Agent,Hyderabad,110000
3,Apartment,Furnished,3,Family,1.0,Agent,Hyderabad,58000
3,Apartment,Semi-Furnished,3,Bachelors,2.0,Agent,Hyderabad,64000
3,Apartment,Furnished,3,Bachelors,1.0,Agent,Hyderabad,56000
3,Apartment,Unfurnished,3,Bachelors,3.0,Agent,Hyderabad,60000
3,Apartment,Semi-Furnished,3,Bachelors/Family,2.0,Agent,Hyderabad,68000
