District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,03-Nov-22,0,14.1,29.7,53.1,98.5,0.0,8.4
Adilabad,Adilabad Rural,04-Nov-22,0,15.4,30.3,45.9,95.4,0.1,8.7
Adilabad,Adilabad Rural,22-Nov-22,0,15.0,27.9,43.2,86.2,0.0,9.6
Adilabad,Adilabad Rural,30-Nov-22,0,11.5,29.2,36.7,95.4,0.0,10.7
Adilabad,Adilabad Urban,09-Nov-22,0,17.1,36.4,46.7,99.9,0.0,0.3
Adilabad,Adilabad Urban,14-Nov-22,0,16.7,32.6,42.4,99.9,0.0,4.6
Adilabad,Bazarhathnoor,28-Nov-22,0,14.4,31.0,38.5,83.1,0.0,12.0
Adilabad,Bela,02-Nov-22,0,18.9,32.9,44.2,100.0,0.0,15.8
Adilabad,Bela,20-Nov-22,0,8.3,30.7,28.9,97.5,1.2,6.2
Adilabad,Bheempoor,09-Nov-22,0,16.7,34.4,48.7,99.9,0.0,5.8
Adilabad,Bheempoor,14-Nov-22,0,14.7,32.4,44.9,99.9,0.0,9.0
Adilabad,Bheempoor,24-Nov-22,0,16.7,33.5,46.8,99.9,0.0,3.3
Adilabad,Boath,02-Nov-22,0,21.4,33.8,47.1,96.7,0.0,6.7
Adilabad,Boath,06-Nov-22,0,17.2,34.8,32.7,94.4,0.0,8.4
Adilabad,Boath,20-Nov-22,0,11.2,29.9,38.8,93.4,0.0,9.7
Adilabad,Gadiguda,02-Nov-22,0,19.9,32.6,52.5,99.9,0.0,15.8
Adilabad,Gadiguda,06-Nov-22,0,19.3,33.8,40.1,99.9,0.0,11.4
Adilabad,Gadiguda,20-Nov-22,0,10.9,29.6,43.4,93.5,0.0,9.0
Adilabad,Gudihathnur,21-Nov-22,0,11.7,27.2,46.1,71.5,0.0,6.2
Adilabad,Gudihathnur,25-Nov-22,0,14.7,32.0,43.1,87.9,0.0,9.4
Adilabad,Ichoda,02-Nov-22,0,19.5,28.4,58.1,90.9,0.0,0.0
Adilabad,Ichoda,28-Nov-22,0,15.8,30.1,36.8,82.0,0.0,6.9
Adilabad,Inderavelly,27-Nov-22,0,12.4,29.3,36.9,86.3,0.0,11.2
Adilabad,Jainad,16-Nov-22,0,11.8,33.2,32.8,100.0,0.0,2.9
Adilabad,Mavala,22-Nov-22,0,16.9,29.2,41.7,99.9,0.0,3.1
Adilabad,Mavala,26-Nov-22,0,12.0,30.2,36.7,95.3,0.0,2.7
Adilabad,Mavala,29-Nov-22,0,10.6,31.0,32.1,94.9,0.0,2.1
Adilabad,Narnoor,12-Nov-22,0,18.5,28.9,43.5,91.8,0.0,11.2
Adilabad,Narnoor,15-Nov-22,0,16.6,29.2,37.9,93.5,0.0,8.8
Adilabad,Neradigonda,01-Nov-22,0,16.7,30.1,38.0,91.6,0.0,8.5
Adilabad,Neradigonda,11-Nov-22,0,17.2,32.2,44.2,94.3,0.0,15.2
Adilabad,Neradigonda,13-Nov-22,0,17.3,30.7,46.5,91.3,0.0,13.8
Adilabad,Neradigonda,17-Nov-22,0,14.8,31.7,31.6,88.5,0.0,7.2
Adilabad,Sirikonda,07-Nov-22,0,16.7,33.9,32.6,93.7,0.0,6.6
Adilabad,Sirikonda,11-Nov-22,0,16.7,32.6,32.9,90.8,0.0,10.6
Adilabad,Sirikonda,13-Nov-22,0,16.1,32.3,33.5,91.2,2.8,9.0
Adilabad,Tamsi,24-Nov-22,0,16.3,32.5,54.3,93.6,0.0,6.8
Adilabad,Utnur,02-Nov-22,0,19.8,30.4,48.3,98.4,0.0,10.1
Adilabad,Utnur,06-Nov-22,0,15.5,33.0,30.4,97.6,0.0,8.1
Bhadradri Kothagudem,Allapalli,21-Nov-22,0,20.1,31.4,42.0,79.3,0.0,10.9
Bhadradri Kothagudem,Annapureddipalle,16-Nov-22,0,15.8,30.9,51.1,100.0,0.0,7.0
Bhadradri Kothagudem,Annapureddipalle,28-Nov-22,0,13.8,31.7,31.9,100.0,0.0,4.8
Bhadradri Kothagudem,Aswapuram,12-Nov-22,0,19.4,33.6,43.0,100.0,0.0,0.3
Bhadradri Kothagudem,Aswapuram,15-Nov-22,0,17.5,33.3,46.5,100.0,0.0,0.7
Bhadradri Kothagudem,Aswaraopeta,21-Nov-22,0,20.5,26.5,53.0,87.2,0.0,9.4
Bhadradri Kothagudem,Bhadrachalam,12-Nov-22,0,20.0,33.0,53.8,100.0,0.0,8.0
Bhadradri Kothagudem,Bhadrachalam,15-Nov-22,0,17.9,33.3,52.7,100.0,0.0,6.5
Bhadradri Kothagudem,Burgampadu,20-Nov-22,0,15.0,31.8,62.3,100.0,0.0,7.1
Bhadradri Kothagudem,Cherla,20-Nov-22,0,15.6,32.0,55.0,97.1,0.0,6.8
Bhadradri Kothagudem,Chunchupally,20-Nov-22,0,13.4,30.7,45.3,87.4,0.0,4.2
Bhadradri Kothagudem,Dammapeta,15-Nov-22,0,17.2,33.0,41.3,100.0,0.0,7.0
Bhadradri Kothagudem,Dummugudem,02-Nov-22,0,22.5,30.6,66.0,98.7,0.0,0.6
Bhadradri Kothagudem,Dummugudem,06-Nov-22,0,20.6,33.0,48.7,99.2,0.0,5.0
Bhadradri Kothagudem,Gundala,03-Nov-22,0,21.9,31.3,64.8,97.4,0.0,2.3
Bhadradri Kothagudem,Gundala,04-Nov-22,0,21.3,31.6,59.0,99.8,0.0,8.7
Bhadradri Kothagudem,Gundala,26-Nov-22,0,14.9,33.1,45.3,99.0,0.0,6.1
Bhadradri Kothagudem,Gundala,30-Nov-22,0,13.2,29.8,36.4,97.1,0.0,6.1
Bhadradri Kothagudem,Karakagudem,09-Nov-22,0,18.3,32.7,44.7,100.0,0.0,2.5
Bhadradri Kothagudem,Karakagudem,14-Nov-22,0,17.9,34.4,40.3,100.0,0.0,3.7
Bhadradri Kothagudem,Karakagudem,24-Nov-22,0,22.4,34.3,45.7,99.9,0.0,3.4
Bhadradri Kothagudem,Kothagudem,28-Nov-22,0,12.7,31.0,38.7,98.7,0.0,7.0
Bhadradri Kothagudem,Laxmidevipalli,07-Nov-22,0,18.7,32.4,50.4,93.6,0.0,5.3
Bhadradri Kothagudem,Laxmidevipalli,08-Nov-22,0,19.6,32.9,51.9,92.8,0.0,2.9
Bhadradri Kothagudem,Manuguru,19-Nov-22,0,17.8,33.4,35.6,97.9,0.0,1.2
Bhadradri Kothagudem,Manuguru,27-Nov-22,0,15.3,32.6,39.5,97.9,0.0,0.3
Bhadradri Kothagudem,Mulakalapalle,01-Nov-22,0,21.6,31.6,46.5,100.0,0.0,7.1
Bhadradri Kothagudem,Mulakalapalle,08-Nov-22,0,19.5,33.0,42.6,100.0,0.0,5.7
Bhadradri Kothagudem,Mulakalapalle,11-Nov-22,0,18.7,32.2,49.5,100.0,0.0,5.6
Bhadradri Kothagudem,Mulakalapalle,17-Nov-22,0,13.6,32.0,42.8,100.0,0.0,6.9
Bhadradri Kothagudem,Palawancha,02-Nov-22,0,20.3,30.9,64.9,100.0,0.0,3.7
Bhadradri Kothagudem,Palawancha,06-Nov-22,0,19.9,35.3,47.8,99.1,0.0,3.3
Bhadradri Kothagudem,Pinapaka,16-Nov-22,0,15.5,32.2,43.0,100.0,0.0,5.0
Bhadradri Kothagudem,Sujathanagar,01-Nov-22,0,22.4,31.0,42.6,92.2,0.0,3.6
Bhadradri Kothagudem,Sujathanagar,07-Nov-22,0,20.2,32.9,39.0,100.0,0.0,5.0
Bhadradri Kothagudem,Sujathanagar,08-Nov-22,0,20.4,32.9,38.4,100.0,0.0,3.2
Bhadradri Kothagudem,Sujathanagar,13-Nov-22,0,20.6,32.3,43.2,96.1,0.0,6.0
Bhadradri Kothagudem,Sujathanagar,17-Nov-22,0,15.2,31.0,28.6,100.0,0.0,0.7
Bhadradri Kothagudem,Tekulapalle,03-Nov-22,0,23.0,31.9,58.0,95.9,0.0,2.2
Bhadradri Kothagudem,Tekulapalle,04-Nov-22,0,22.7,33.0,55.7,97.2,0.0,4.3
Bhadradri Kothagudem,Tekulapalle,22-Nov-22,0,19.8,28.8,51.0,98.6,0.0,2.6
Bhadradri Kothagudem,Tekulapalle,26-Nov-22,0,18.3,32.5,50.9,98.2,0.0,6.8
Bhadradri Kothagudem,Tekulapalle,29-Nov-22,0,13.6,30.8,37.7,97.5,0.0,5.7
Hanumakonda,Atmakur,05-Nov-22,0,19.7,33.5,59.2,99.9,0.0,6.6
Hanumakonda,Atmakur,21-Nov-22,0,17.0,29.8,45.7,81.9,0.0,6.8
Hanumakonda,Atmakur,23-Nov-22,0,20.0,32.6,57.9,91.8,0.0,5.2
Hanumakonda,Atmakur,25-Nov-22,0,17.5,32.8,67.9,96.9,0.0,2.0
Hanumakonda,Bheemadevarapalle,18-Nov-22,0,14.8,30.5,31.4,88.1,0.0,3.1
Hanumakonda,Bheemadevarapalle,19-Nov-22,0,15.3,30.3,39.1,81.3,0.0,0.9
Hanumakonda,Damera,21-Nov-22,0,18.8,28.8,31.7,71.1,0.0,4.1
