District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Oct-23,0.0,23.8,32.5,69.7,100.0,0.0,7.4
Adilabad,Adilabad Rural,02-Oct-23,0.0,22.3,34.6,64.2,98.3,0.0,5.8
Adilabad,Adilabad Rural,03-Oct-23,0.0,24.6,34.3,65.2,98.3,0.0,6.6
Adilabad,Adilabad Rural,04-Oct-23,0.0,21.1,32.9,67.8,99.5,0.0,11.6
Adilabad,Adilabad Rural,05-Oct-23,0.0,20.3,34.6,49.5,99.5,0.0,6.2
Adilabad,Adilabad Rural,06-Oct-23,0.0,20.5,32.9,53.0,100.0,0.0,11.4
Adilabad,Adilabad Rural,07-Oct-23,0.0,20.6,34.1,55.0,98.5,0.0,8.3
Adilabad,Adilabad Rural,08-Oct-23,0.0,20.5,34.1,56.5,97.4,0.0,6.2
Adilabad,Adilabad Rural,09-Oct-23,0.0,21.1,36.2,45.2,94.3,0.0,5.9
Adilabad,Adilabad Rural,10-Oct-23,0.0,20.7,33.9,51.3,97.4,0.0,8.3
Adilabad,Adilabad Rural,11-Oct-23,0.0,20.6,33.7,52.9,99.0,0.0,8.1
Adilabad,Adilabad Rural,12-Oct-23,0.0,20.4,33.4,57.0,99.5,0.0,7.7
Adilabad,Adilabad Rural,13-Oct-23,0.0,19.8,34.4,51.3,97.9,0.0,8.9
Adilabad,Adilabad Rural,14-Oct-23,0.0,21.3,33.4,51.3,95.3,0.0,6.7
Adilabad,Adilabad Rural,15-Oct-23,0.0,20.2,33.7,46.6,97.9,0.0,6.9
Adilabad,Adilabad Rural,16-Oct-23,0.0,19.5,34.5,44.9,96.4,0.0,5.6
Adilabad,Adilabad Rural,17-Oct-23,0.0,19.9,34.9,47.2,98.5,0.0,8.4
Adilabad,Adilabad Rural,18-Oct-23,0.0,19.9,32.9,47.4,97.9,0.0,8.6
Adilabad,Adilabad Rural,19-Oct-23,0.0,20.2,32.8,54.5,99.0,0.0,6.6
Adilabad,Adilabad Rural,20-Oct-23,0.0,19.7,32.9,58.6,99.5,0.0,6.0
Adilabad,Adilabad Rural,21-Oct-23,0.0,18.9,31.9,59.6,99.3,0.0,12.3
Adilabad,Adilabad Rural,22-Oct-23,0.0,16.3,31.9,49.1,94.4,0.0,14.0
Adilabad,Adilabad Rural,23-Oct-23,0.0,16.6,32.0,47.6,93.9,0.0,8.9
Adilabad,Adilabad Rural,24-Oct-23,0.0,15.7,31.9,45.3,95.9,0.0,10.3
Adilabad,Adilabad Rural,25-Oct-23,0.0,15.6,31.4,44.1,93.3,0.0,13.3
Adilabad,Adilabad Rural,26-Oct-23,0.0,15.6,31.8,40.1,96.4,0.0,7.2
Adilabad,Adilabad Rural,27-Oct-23,0.0,15.5,32.7,39.3,94.4,0.0,10.1
Adilabad,Adilabad Rural,28-Oct-23,0.0,14.6,31.1,39.5,95.4,0.0,9.8
