District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Dec-23,0.0,18.4,32.9,53.5,97.2,0.0,8.1
Adilabad,Adilabad Rural,02-Dec-23,0.0,18.2,32.7,50.0,100.0,0.0,5.8
Adilabad,Adilabad Rural,03-Dec-23,0.0,16.5,29.9,65.6,100.0,0.0,6.8
Adilabad,Adilabad Rural,04-Dec-23,0.0,17.4,29.7,61.4,99.8,0.0,9.0
Adilabad,Adilabad Rural,05-Dec-23,0.0,21.2,27.7,67.7,98.3,0.0,10.0
Adilabad,Adilabad Rural,06-Dec-23,0.0,19.1,25.4,78.0,93.9,0.9,15.1
Adilabad,Adilabad Rural,07-Dec-23,3.6,18.9,20.2,94.9,100.0,0.2,9.5
Adilabad,Adilabad Rural,08-Dec-23,0.0,16.3,24.9,79.6,100.0,0.0,4.8
Adilabad,Adilabad Rural,09-Dec-23,0.0,14.7,25.3,75.9,100.0,0.0,7.0
Adilabad,Adilabad Rural,10-Dec-23,0.0,13.5,28.5,55.4,100.0,0.0,9.9
Adilabad,Adilabad Rural,11-Dec-23,0.0,12.8,29.9,48.3,99.2,0.0,11.0
Adilabad,Adilabad Rural,12-Dec-23,0.0,14.0,28.5,49.5,95.6,0.0,7.3
Adilabad,Adilabad Rural,13-Dec-23,0.0,13.9,31.6,42.1,97.7,0.0,7.6
Adilabad,Adilabad Rural,14-Dec-23,0.0,14.0,29.4,44.2,96.7,0.0,10.5
Adilabad,Adilabad Rural,15-Dec-23,0.0,12.1,27.8,51.2,98.9,0.0,9.1
Adilabad,Adilabad Rural,16-Dec-23,0.0,11.8,27.3,51.8,99.3,0.0,9.9
Adilabad,Adilabad Rural,17-Dec-23,0.0,13.1,27.9,49.4,94.5,0.0,9.6
Adilabad,Adilabad Rural,18-Dec-23,0.0,12.1,26.6,49.0,99.2,0.0,8.0
Adilabad,Adilabad Rural,19-Dec-23,0.0,9.7,25.4,53.1,93.2,0.0,10.2
