District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),,,,,
Adilabad,Bheempoor,01-Jan-21,0,10.1,30,37.8,95.7,0,3.1,,,,,
Adilabad,Bheempoor,02-Jan-21,0,11.7,29.9,40.6,96.6,0,2.2,,,,,
Adilabad,Bheempoor,03-Jan-21,0,10.4,30.4,45.8,97,0,2.2,,,,,
Adilabad,Bheempoor,04-Jan-21,0,13.1,30.5,38.4,96.4,0,2,,,,,
Adilabad,Bheempoor,05-Jan-21,0,13.4,29.8,50.7,97,0,2,,,,,
Adilabad,Bheempoor,06-Jan-21,0,15.6,30.9,43.3,93.6,0,1.6,,,,,
Adilabad,Bheempoor,07-Jan-21,0,19.3,31.2,48.2,92.6,0,1.4,,,,,
Adilabad,Bheempoor,08-Jan-21,0,21.3,29.6,59.8,91.8,0,2,,,,,
Adilabad,Bheempoor,09-Jan-21,0,17.3,31.2,51.8,96.1,0,1.6,,,,,
Adilabad,Bheempoor,10-Jan-21,0,12.4,33.7,24.8,88.1,0,2.8,,,,,
Adilabad,Bheempoor,11-Jan-21,0,13.1,34.3,24.2,85.8,0,1.9,,,,,
Adilabad,Bheempoor,12-Jan-21,0,15.9,34,35.5,93,0,1.4,,,,,
Adilabad,Bheempoor,13-Jan-21,0,14.7,32.8,42.6,95.9,0,1.5,,,,,
Adilabad,Bheempoor,14-Jan-21,0,12,31.7,40.6,95.3,0,1.5,,,,,
Adilabad,Bheempoor,15-Jan-21,0,9.9,31.8,36.2,94.6,0,1.3,,,,,
Adilabad,Bheempoor,16-Jan-21,0,11.9,32.3,32.9,89.9,0,1.3,,,,,
Adilabad,Bheempoor,17-Jan-21,0,12.7,32.7,32.4,91.3,0,1.6,,,,,
Adilabad,Bheempoor,18-Jan-21,0,12.6,32.6,32.1,91.6,0,1.7,,,,,
Adilabad,Bheempoor,19-Jan-21,0,13.5,32.1,33.2,93.4,0,2.1,,,,,
Adilabad,Bheempoor,20-Jan-21,0,15.8,33.5,36.9,90.5,0,1.9,,,,,
Adilabad,Bheempoor,21-Jan-21,0,15.1,33.1,38.8,90.1,0,2.3,,,,,
Adilabad,Bheempoor,22-Jan-21,0,10.6,32.5,25.4,91.1,0,1.5,,,,,
Adilabad,Bheempoor,23-Jan-21,0,10.6,32.3,28.8,88.9,0,1.7,,,,,
Adilabad,Bheempoor,24-Jan-21,0,14.7,34.4,31.9,90.5,0,2.6,,,,,
Adilabad,Bheempoor,25-Jan-21,0,13.4,34.8,38.3,91.2,0,1.6,,,,,
Adilabad,Bheempoor,26-Jan-21,0,15.1,33.4,40.4,89.7,0,1.8,,,,,
Adilabad,Bheempoor,27-Jan-21,0,15.1,32.9,42.4,87.7,0,1.5,,,,,
Adilabad,Bheempoor,28-Jan-21,0,16.2,32.9,42.2,93.7,0,0.9,,,,,
Adilabad,Bheempoor,29-Jan-21,0,17.8,31.9,43.9,91.3,0,1.9,,,,,
Adilabad,Bheempoor,30-Jan-21,0,13.6,31.5,46.2,88.5,0,1.5,,,,,
Adilabad,Bheempoor,31-Jan-21,0,9.6,29.6,28.3,83.2,0,2,,,,,
Adilabad,Bheempoor,01-Feb-21,0,9.9,30.6,30.7,85.9,0,1.8,,,,,
Adilabad,Bheempoor,02-Feb-21,0,8,32.2,26.3,85.9,0,2,,,,,
Adilabad,Bheempoor,03-Feb-21,0,7,33,18.3,83.6,0,1.9,,,,,
Adilabad,Bheempoor,04-Feb-21,0,7.1,32.9,16.3,80.7,0,1.9,,,,,
Adilabad,Bheempoor,05-Feb-21,0,8.6,32.2,17.7,84.8,0,6.7,,,,,
Adilabad,Bheempoor,06-Feb-21,0,13,33.5,21.7,76.7,0.1,2.6,,,,,
