District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Jan-22,0.0,14.1,23.8,72.6,99.5,0.0,7.1
Adilabad,Adilabad Rural,02-Jan-22,0.0,13.5,27.4,55.6,99.8,0.0,8.0
Adilabad,Adilabad Rural,03-Jan-22,0.0,12.9,28.4,44.7,99.0,0.0,7.9
Adilabad,Adilabad Rural,04-Jan-22,0.0,12.7,27.6,49.5,99.0,0.0,9.7
Adilabad,Adilabad Rural,05-Jan-22,0.0,12.5,28.5,41.9,97.7,0.0,9.5
Adilabad,Adilabad Rural,06-Jan-22,0.0,16.2,30.6,40.7,93.3,0.0,8.1
Adilabad,Adilabad Rural,07-Jan-22,0.0,16.1,31.4,44.1,89.5,0.0,12.7
Adilabad,Adilabad Rural,08-Jan-22,0.0,16.4,28.9,45.3,83.3,0.0,15.7
Adilabad,Adilabad Rural,09-Jan-22,0.0,20.7,29.7,55.6,86.1,0.0,17.4
Adilabad,Adilabad Rural,10-Jan-22,3.3,18.3,30.2,58.7,99.3,0.0,14.3
Adilabad,Adilabad Rural,11-Jan-22,24.5,17.6,23.5,85.9,100.0,0.0,6.1
Adilabad,Adilabad Rural,12-Jan-22,10.5,17.2,22.9,84.7,100.0,0.0,9.0
Adilabad,Adilabad Rural,13-Jan-22,0.0,14.8,20.1,86.1,100.0,0.0,7.0
Adilabad,Adilabad Rural,14-Jan-22,16.3,18.2,24.3,74.5,99.8,0.0,12.1
Adilabad,Adilabad Rural,15-Jan-22,0.0,17.4,28.3,58.1,100.0,0.9,6.9
Adilabad,Adilabad Rural,16-Jan-22,0.0,13.7,20.0,87.3,100.0,0.0,8.0
Adilabad,Adilabad Rural,17-Jan-22,0.0,13.6,25.6,68.9,100.0,0.0,9.5
Adilabad,Adilabad Rural,18-Jan-22,0.0,13.3,28.8,49.9,99.8,0.0,6.1
Adilabad,Adilabad Rural,19-Jan-22,0.0,13.0,28.7,49.9,98.7,0.0,6.5
Adilabad,Adilabad Rural,20-Jan-22,0.0,12.5,28.6,43.6,98.2,0.0,8.5
Adilabad,Adilabad Rural,21-Jan-22,0.0,14.2,31.4,34.7,89.3,0.0,9.0
Adilabad,Adilabad Rural,22-Jan-22,0.0,13.6,30.4,39.0,90.4,0.0,10.9
Adilabad,Adilabad Rural,23-Jan-22,0.0,16.9,32.0,36.4,92.3,0.0,10.6
Adilabad,Adilabad Rural,24-Jan-22,0.0,12.1,28.5,43.6,92.6,0.0,7.8
Adilabad,Adilabad Rural,25-Jan-22,0.0,10.7,24.5,47.4,95.0,0.0,9.8
Adilabad,Adilabad Rural,26-Jan-22,0.0,10.0,26.9,42.1,97.0,0.0,8.6
Adilabad,Adilabad Rural,27-Jan-22,0.0,8.0,25.8,42.6,96.5,0.0,8.9
Adilabad,Adilabad Rural,28-Jan-22,0.0,7.0,26.1,38.9,97.5,0.0,10.4
Adilabad,Adilabad Rural,29-Jan-22,0.0,6.3,26.0,37.7,97.5,0.0,9.5
Adilabad,Adilabad Rural,30-Jan-22,0.0,7.9,26.7,32.8,91.4,0.0,11.4
Adilabad,Adilabad Rural,31-Jan-22,0.0,10.8,32.5,25.2,84.5,0.0,7.9
Adilabad,Adilabad Urban,01-Jan-22,0.0,14.3,28.8,53.7,99.4,0.0,0.4
Adilabad,Adilabad Urban,02-Jan-22,0.0,13.5,32.7,39.0,99.3,0.0,0.6
Adilabad,Adilabad Urban,03-Jan-22,0.0,13.5,32.4,30.4,98.6,0.0,0.3
Adilabad,Adilabad Urban,04-Jan-22,0.0,12.6,29.9,33.0,98.8,0.0,0.9
Adilabad,Adilabad Urban,05-Jan-22,0.0,11.4,30.7,26.7,99.1,0.0,3.2
Adilabad,Adilabad Urban,06-Jan-22,0.0,15.0,31.0,31.9,99.2,0.0,0.4
Adilabad,Adilabad Urban,07-Jan-22,0.0,13.1,32.2,28.0,98.8,0.0,4.5
Adilabad,Adilabad Urban,08-Jan-22,0.0,14.8,30.9,29.9,98.0,0.0,1.8
Adilabad,Adilabad Urban,09-Jan-22,0.0,16.8,32.3,39.4,97.8,0.0,5.5
Adilabad,Adilabad Urban,10-Jan-22,3.9,18.2,30.8,39.9,99.5,0.0,6.2
Adilabad,Adilabad Urban,11-Jan-22,2.4,19.4,26.7,69.7,99.5,0.0,1.0
Adilabad,Adilabad Urban,12-Jan-22,9.6,18.1,25.0,68.3,99.5,0.0,2.2
Adilabad,Adilabad Urban,13-Jan-22,0.0,15.4,21.8,84.1,99.5,0.0,0.5
Adilabad,Adilabad Urban,14-Jan-22,2.0,18.1,27.1,69.6,99.5,0.0,0.8
Adilabad,Adilabad Urban,15-Jan-22,0.2,17.8,30.1,44.9,99.4,0.0,0.8
Adilabad,Adilabad Urban,16-Jan-22,0.0,15.3,21.3,79.8,99.5,0.0,0.5
Adilabad,Adilabad Urban,17-Jan-22,0.0,13.9,28.8,64.4,99.7,0.0,2.2
Adilabad,Adilabad Urban,18-Jan-22,0.0,13.6,32.2,32.3,99.1,0.0,1.2
Adilabad,Adilabad Urban,19-Jan-22,0.0,13.3,31.9,32.3,99.4,0.0,0.5
Adilabad,Adilabad Urban,20-Jan-22,0.0,11.9,29.4,29.7,99.4,0.0,0.6
Adilabad,Adilabad Urban,21-Jan-22,0.0,13.3,33.3,22.0,97.2,0.0,0.5
Adilabad,Adilabad Urban,22-Jan-22,0.0,12.3,32.2,27.1,98.0,0.0,0.9
Adilabad,Adilabad Urban,23-Jan-22,0.0,16.4,34.1,24.0,94.7,0.0,1.6
Adilabad,Adilabad Urban,24-Jan-22,0.0,12.5,31.2,26.7,91.5,0.0,1.5
Adilabad,Adilabad Urban,25-Jan-22,0.0,11.1,27.1,29.4,95.9,0.0,1.1
Adilabad,Adilabad Urban,26-Jan-22,0.0,10.6,28.8,26.8,98.2,0.0,4.5
Adilabad,Adilabad Urban,27-Jan-22,0.0,8.8,28.4,26.2,97.3,0.0,0.9
Adilabad,Adilabad Urban,28-Jan-22,0.0,7.2,28.2,24.4,98.4,0.0,2.6
Adilabad,Adilabad Urban,29-Jan-22,0.0,6.6,26.9,21.6,98.2,0.0,1.8
Adilabad,Adilabad Urban,30-Jan-22,0.0,6.9,29.6,17.9,97.6,0.0,1.1
Adilabad,Adilabad Urban,31-Jan-22,0.0,8.7,32.2,16.9,98.4,0.0,0.6
Adilabad,Bazarhathnoor,01-Jan-22,0.0,13.1,23.7,71.7,96.5,0.0,2.9
Adilabad,Bazarhathnoor,02-Jan-22,0.0,13.7,27.0,54.4,96.0,0.0,4.3
Adilabad,Bazarhathnoor,03-Jan-22,0.0,12.1,28.4,48.1,94.0,0.0,3.4
Adilabad,Bazarhathnoor,04-Jan-22,0.0,10.9,27.1,43.7,95.7,0.0,3.0
Adilabad,Bazarhathnoor,05-Jan-22,0.0,10.3,27.4,41.4,92.0,0.0,4.0
Adilabad,Bazarhathnoor,06-Jan-22,0.0,12.0,28.3,48.1,95.3,0.0,2.7
Adilabad,Bazarhathnoor,07-Jan-22,0.0,11.2,28.3,48.7,95.3,0.0,3.5
Adilabad,Bazarhathnoor,08-Jan-22,0.0,12.7,27.6,42.0,94.0,0.0,6.3
